timestamp,frame_number,group_id,magic_number,x,y,0,1,2,3,4,5,6,7
3875558667,21,10,23,6,1,128,128,127,127,142,145,129,127
4038083917,23,10,23,6,1,128,129,127,127,135,150,131,128
4240516250,25,10,23,6,1,128,129,127,127,137,149,130,129
4440252750,27,10,23,6,1,128,128,127,127,136,150,131,128
4545832375,28,10,23,5,1,128,127,150,132,128,128,127,127
4637290709,29,10,23,5,1,143,137,112,127,128,128,127,127
4703550459,30,10,23,5,1,121,127,127,127,128,128,127,127
4906116375,32,10,23,5,2,127,131,140,124,127,127,128,127
5074577834,34,10,23,5,2,129,134,143,127,127,127,128,127
5074631959,34,10,23,6,1,128,129,127,127,127,122,145,128
5074649959,34,10,23,5,1,128,127,127,127,128,128,127,127
5276550917,36,10,23,6,1,128,129,127,127,127,128,122,137
5374423250,37,10,23,6,2,127,127,128,127,137,138,128,128
5374458667,37,10,23,6,1,128,128,127,127,127,129,128,132
5475355000,38,10,23,5,1,128,126,127,127,128,128,127,127
5542606000,39,10,23,6,2,127,127,127,127,130,128,123,126
5542656042,39,10,23,5,3,127,129,143,131,128,127,128,127
5639884084,40,10,23,5,2,130,148,130,127,127,127,128,127
5742192375,41,10,23,5,3,127,143,137,129,128,127,128,127
5742223125,41,10,23,5,2,130,152,125,127,127,127,128,127
5841105709,42,10,23,6,1,128,129,127,127,127,128,128,127
5841139250,42,10,23,5,2,138,121,127,127,127,127,128,127
5939812042,43,10,23,5,1,128,126,127,127,128,128,127,127
6005604417,44,10,23,6,1,127,128,128,128,128,127,127,126
6180790459,46,10,23,5,3,131,148,131,126,125,128,121,156
6180816792,46,10,23,5,4,128,127,127,128,138,131,128,128
6272583292,47,10,23,5,3,128,152,131,127,127,128,127,117
6372086292,48,10,23,6,2,126,127,127,127,127,128,128,128
6372109167,48,10,23,5,3,128,152,128,127,127,128,127,128
6372115042,48,10,23,5,4,128,127,126,127,146,134,128,127
6372120042,48,10,23,5,2,128,128,128,128,128,128,127,128
6439911375,49,10,23,6,1,127,128,128,128,128,127,127,127
6439929959,49,10,23,5,4,128,127,127,128,142,140,128,127
6534864542,50,10,23,5,3,131,128,128,127,127,128,127,128
6706064167,52,10,23,5,4,128,127,127,123,149,140,128,128
6774424292,53,10,23,6,2,128,128,126,128,128,127,127,127
6774450542,53,10,23,5,2,128,127,128,128,128,128,127,128
6941452125,55,10,23,5,4,128,127,126,127,147,140,133,125
6941475209,55,10,23,5,3,128,131,128,127,127,128,127,128
7138551292,57,10,23,4,4,130,137,128,128,127,128,127,127
7138574667,57,10,23,5,4,128,127,126,128,127,144,140,127
7204451292,58,10,23,6,1,127,128,128,128,128,127,127,126
7204477167,58,10,23,5,2,128,127,128,128,128,128,127,128
7204483625,58,10,23,4,4,130,138,134,128,127,128,127,127
7304643042,59,10,23,5,4,128,127,127,127,127,125,140,128
7373919584,60,10,23,4,4,136,146,128,131,127,128,127,127
7373941125,60,10,23,5,3,128,131,128,127,127,128,127,128
