epoch,train_total_loss,train_loss_mse,train_loss_link,train_mjpe_mean,train_mjpe_NOSE,train_mjpe_LEFT_SHOULDER,train_mjpe_RIGHT_SHOULDER,train_mjpe_LEFT_ELBOW,train_mjpe_RIGHT_ELBOW,train_mjpe_LEFT_WRIST,train_mjpe_RIGHT_WRIST,train_mjpe_LEFT_HIP,train_mjpe_RIGHT_HIP,train_mjpe_LEFT_KNEE,train_mjpe_RIGHT_KNEE,train_mjpe_LEFT_ANKLE,train_mjpe_RIGHT_ANKLE,train_pck_10_mean,train_pck_10_NOSE,train_pck_10_LEFT_SHOULDER,train_pck_10_RIGHT_SHOULDER,train_pck_10_LEFT_ELBOW,train_pck_10_RIGHT_ELBOW,train_pck_10_LEFT_WRIST,train_pck_10_RIGHT_WRIST,train_pck_10_LEFT_HIP,train_pck_10_RIGHT_HIP,train_pck_10_LEFT_KNEE,train_pck_10_RIGHT_KNEE,train_pck_10_LEFT_ANKLE,train_pck_10_RIGHT_ANKLE,train_pck_5_mean,train_pck_5_NOSE,train_pck_5_LEFT_SHOULDER,train_pck_5_RIGHT_SHOULDER,train_pck_5_LEFT_ELBOW,train_pck_5_RIGHT_ELBOW,train_pck_5_LEFT_WRIST,train_pck_5_RIGHT_WRIST,train_pck_5_LEFT_HIP,train_pck_5_RIGHT_HIP,train_pck_5_LEFT_KNEE,train_pck_5_RIGHT_KNEE,train_pck_5_LEFT_ANKLE,train_pck_5_RIGHT_ANKLE,val_total_loss,val_loss_mse,val_loss_link,val_mjpe_mean,val_mjpe_NOSE,val_mjpe_LEFT_SHOULDER,val_mjpe_RIGHT_SHOULDER,val_mjpe_LEFT_ELBOW,val_mjpe_RIGHT_ELBOW,val_mjpe_LEFT_WRIST,val_mjpe_RIGHT_WRIST,val_mjpe_LEFT_HIP,val_mjpe_RIGHT_HIP,val_mjpe_LEFT_KNEE,val_mjpe_RIGHT_KNEE,val_mjpe_LEFT_ANKLE,val_mjpe_RIGHT_ANKLE,val_pck_10_mean,val_pck_10_NOSE,val_pck_10_LEFT_SHOULDER,val_pck_10_RIGHT_SHOULDER,val_pck_10_LEFT_ELBOW,val_pck_10_RIGHT_ELBOW,val_pck_10_LEFT_WRIST,val_pck_10_RIGHT_WRIST,val_pck_10_LEFT_HIP,val_pck_10_RIGHT_HIP,val_pck_10_LEFT_KNEE,val_pck_10_RIGHT_KNEE,val_pck_10_LEFT_ANKLE,val_pck_10_RIGHT_ANKLE,val_pck_5_mean,val_pck_5_NOSE,val_pck_5_LEFT_SHOULDER,val_pck_5_RIGHT_SHOULDER,val_pck_5_LEFT_ELBOW,val_pck_5_RIGHT_ELBOW,val_pck_5_LEFT_WRIST,val_pck_5_RIGHT_WRIST,val_pck_5_LEFT_HIP,val_pck_5_RIGHT_HIP,val_pck_5_LEFT_KNEE,val_pck_5_RIGHT_KNEE,val_pck_5_LEFT_ANKLE,val_pck_5_RIGHT_ANKLE
1,0.016238968419718426,0.016043801066988907,0.00019516735305301922,0.10830597181606223,0.11265190973422806,0.09123046547596853,0.09352008301026209,0.10953530819164133,0.10985565181731655,0.13184932887352507,0.13101037709013816,0.049643812521245674,0.05029096823606719,0.10263294786563648,0.09522521437977624,0.16924988824653425,0.16128162574227395,0.5654348411588626,0.5892705285339872,0.7187271397220191,0.7128131858126997,0.565366678860995,0.5839360826638552,0.4399369056333175,0.44059871068468215,0.8512881766642283,0.8556316294806144,0.5278712509155011,0.5786485003679446,0.21272517373920272,0.2738386978829265,0.2817402756065246,0.2661930779083724,0.4108266276528823,0.41017510973042437,0.2433042245799159,0.26382703913734096,0.13574433065106073,0.13832182699341625,0.6678893105361963,0.664620290784916,0.15256606620391006,0.20922755120811273,0.03521625822970007,0.06471173189465984,0.011134747062614773,0.01111712827624025,1.7618793760583486e-05,0.08282511136433215,0.07565975517558143,0.059446907014549216,0.058858519810010536,0.07952511918459682,0.07729160617682455,0.1018258856274024,0.10110224378711133,0.029069337250711192,0.031818722467460446,0.0850116621926536,0.07847503595610489,0.15175900566848444,0.14688260760567373,0.7032004687089697,0.7838387923045179,0.8721101166214112,0.8781924502566828,0.739002798347138,0.7650412671911594,0.5940437113121697,0.5951860860361012,0.9751998417373982,0.9737814669204142,0.6669830089955867,0.7201491876193057,0.27256559060223806,0.30551144144720077,0.37755100023257787,0.36659011476036396,0.5159017379950639,0.5455414915067385,0.33945650119732623,0.3701633566207802,0.18842246020171863,0.19376977754546817,0.8711035280416162,0.8430563098864186,0.24012598591702575,0.30779176309028444,0.05138472346575333,0.07485506305059263
2,0.009528553533952358,0.009509826193382417,1.8727341078591547e-05,0.0748296556483352,0.06928976674665695,0.0527898747652453,0.053177146660743094,0.0712135150809258,0.06843968316089653,0.09373851447558983,0.09193003317715917,0.02644928813051506,0.027292076259137463,0.07779083035180472,0.07071354376300679,0.13808486310066145,0.13187635193450134,0.7544404613596728,0.820078182150695,0.9072021305800879,0.9080788222384785,0.7964383686927434,0.8200644659860865,0.6547275054886469,0.6562191386269058,0.9842321232626189,0.9842378383321141,0.730686494149949,0.7809813917337235,0.3615398683258889,0.40323930139426517,0.4327791932079159,0.4232626188745356,0.591371388077169,0.5969915874220633,0.40992136064429047,0.4305607626199635,0.23889219092958672,0.24942277798098025,0.9003154718383176,0.8963549286781128,0.31094435808448434,0.37194700987673013,0.09043183065160575,0.11571301207022677,0.008335802944426153,0.00832087215306142,1.493079122953946e-05,0.07116480128591442,0.0703738888842906,0.05305974279553527,0.054207157433622054,0.06844140127257582,0.06826586268656774,0.08818394984193637,0.08883151175293356,0.027020669418167578,0.028418683963739158,0.07175296243951051,0.06455178654004068,0.12432844635224621,0.11770632134895025,0.7816158344159189,0.815736728391745,0.9032199026724954,0.9039549189640174,0.8164141830902323,0.8266232347069513,0.7023464435626962,0.6919086218142055,0.9779008052708639,0.9778092972181552,0.778498854679035,0.8266291384466571,0.4505133306386705,0.48945000706619607,0.46172921452262217,0.4365967269523252,0.6040653190186921,0.5923463845322806,0.45613517214054594,0.4516911278444712,0.28318200065136656,0.27402676757572336,0.8921961341909573,0.8879380578701528,0.37601987199413306,0.4518815236245207,0.13465705143061424,0.1617434350323712
3,0.007025924063944779,0.007012216428057348,1.37076371843258e-05,0.06453746250723628,0.06407841247722408,0.04762021998173796,0.048184424372364025,0.062319772131332274,0.06145519510677307,0.08224236648448013,0.08136531253956428,0.023641158621410766,0.023920254098679313,0.06509722013506104,0.05882468622384951,0.11266018316999961,0.10757777594226114,0.8189424968868951,0.8495496525248648,0.9300452633525824,0.9292828730840968,0.851649369060688,0.8609763624769279,0.7364335680365475,0.7375308613796345,0.9886190106093491,0.9889847750570447,0.8259795629136651,0.8649334765932555,0.5225070866905344,0.5597601956861596,0.5082475676827389,0.47588126371725686,0.6568935168273448,0.6581954096567264,0.5003497622574693,0.5043057333582627,0.32186928493104977,0.32817072055596197,0.9223756400899636,0.9222441934915729,0.44481643197217297,0.5094447238500222,0.16760584308705193,0.19506560899889547,0.00732090998196219,0.007309417899781197,1.1492079354534458e-05,0.06618024145919792,0.06640441328734378,0.049586682186337896,0.0509158370888207,0.06417852950229215,0.06508641775375666,0.08186919980656525,0.0838917160125812,0.025733026640426974,0.025621181993443917,0.06574132365459578,0.05997452457294981,0.11317896376068037,0.10816129121934862,0.8123560701858247,0.8396749396973439,0.9169092121619955,0.9150318211029075,0.841682213117228,0.8473099583588093,0.7471470150382068,0.7222154985235166,0.9807375549048316,0.9803257686676428,0.819578590626947,0.857415694443408,0.5315437113121697,0.5610565342456321,0.5016359241016612,0.4644299343250157,0.6479508100107508,0.6328977353401798,0.5039938837071638,0.48098846406049994,0.3417958602811023,0.31351544418935373,0.9035431327268285,0.9040434751468731,0.45055465686024543,0.5080261417660497,0.16884121285699646,0.2006860151996026
4,0.0057691341461395765,0.005759092691799335,1.0041455799413569e-05,0.05877098295668681,0.06028392012200394,0.044268490418235835,0.04471019505991191,0.05742814019118009,0.05692449947934933,0.07578582509986964,0.07565588924159032,0.021722949939611658,0.021902530683523377,0.05817701659439883,0.052495347010959606,0.09962250072925999,0.09504544583981109,0.8523991300445799,0.8704405175610538,0.9432379297732261,0.9428035844915874,0.8791491404535479,0.8855305870541187,0.778355888809788,0.7747096744718217,0.9917017190929042,0.9918274506217996,0.8693820866861741,0.9010892922457937,0.6103454188013827,0.6426149872026046,0.5561990250983897,0.5150752103156475,0.6985620885171765,0.7001428767417414,0.5531021397241992,0.5537090801035041,0.3737941203365033,0.37576467629955385,0.9370370793708851,0.9374714246525238,0.5246993873456401,0.5863958485778789,0.22295286210734824,0.25188025786393564,0.006904454493423376,0.006892447389176833,1.200710623495282e-05,0.06369292109899255,0.06634863230398425,0.04825275238619717,0.049447652487027,0.06219511773944512,0.06335037444632277,0.07955222576856613,0.0810173521361056,0.024147136743680887,0.02419113560741983,0.06295847745494997,0.05645464821602729,0.10759001443405276,0.10250242322268807,0.8256879760004242,0.8404940844105767,0.9218506470082619,0.9212086146607406,0.8526676072906785,0.8525318211029075,0.7577634250437009,0.738188081482319,0.9811950951683748,0.9808748169838946,0.8383938269594229,0.8694150568276513,0.5713541420452067,0.6080060690248693,0.5256799483674511,0.467811304470456,0.6625522481574845,0.6549497000644008,0.5238983611062191,0.5089486019677683,0.3593122727001743,0.3473335734049014,0.9124238416007113,0.9108667288133725,0.4872582416059681,0.5610609620067769,0.1995864426321725,0.23783680866438334
5,0.004989809618968838,0.004981884511423399,7.925109161294348e-06,0.05486040671601968,0.0574406902261498,0.041761355710658025,0.0422462010078252,0.0539101997149213,0.0536870934135923,0.07137354640133445,0.07166297636904373,0.020209896632510386,0.02037354845443949,0.05373217213909798,0.04837051696731997,0.09113231825491723,0.08728474537598756,0.8741910426326276,0.8859683613796345,0.9524803401652966,0.9524483357739431,0.897922000732619,0.9011018654030435,0.8061459857395468,0.8020082754249893,0.9934448152889539,0.9934791057059253,0.8948404352618728,0.9215446689875351,0.6681076261898246,0.6949913130954573,0.5910380019505876,0.5446392648145502,0.7293160204838991,0.7313985918112367,0.5910147677401207,0.5902878109041408,0.4103419897585955,0.4113695592549306,0.9486649597680908,0.9487358266276518,0.576329325165684,0.6385412856625787,0.26576216166788585,0.29709217264081933,0.006560872261014278,0.006552569870871122,8.302388508392013e-06,0.06092726681954166,0.0627657118693845,0.04589980623601645,0.04664803170333146,0.058929222762737404,0.059825687485134796,0.07634412731817142,0.0776019982426355,0.022914576795535765,0.022937883463405934,0.06047571939177604,0.05496836941291089,0.10335081938441466,0.09939248562622734,0.8390277169459386,0.8524403130501989,0.9253279530111902,0.9272038680917173,0.8636028195893607,0.8673546497504149,0.779046427016726,0.7684713431891724,0.9814238653001464,0.981927159590044,0.8462162895747195,0.875407358388775,0.6100207221630203,0.628917135047354,0.5583113135216351,0.5227736976450393,0.6980514688687304,0.6972766022032909,0.570108451789155,0.5538775798691489,0.39871386906587536,0.38087127472261734,0.915672377471868,0.9172722925029771,0.526106361850638,0.5799588508696717,0.23834600669398665,0.25901797099658025
6,0.00445421898514683,0.00444755628381838,6.662701946619257e-06,0.05205364314799729,0.05525612149621962,0.040066294679343264,0.04032872730985981,0.051446215938381584,0.05122886745132446,0.06827336632671828,0.06865207260527703,0.019113076496160786,0.01919049263169448,0.0505191157500436,0.04553408537096812,0.08534092428918925,0.08174797485568223,0.8895157824686695,0.8970978877124947,0.9593349945157134,0.9595293068785518,0.9104139996364157,0.913757315291134,0.8254537765201025,0.8210760332867448,0.9947992867593269,0.9947535662033651,0.911985643747608,0.9352425475493782,0.7085360277991881,0.7317243507724656,0.61683793636836,0.5691591989802198,0.7511750182904026,0.7541045629158453,0.6181030541374986,0.6175395482830872,0.4391299378244041,0.4388841898361086,0.9567975036598246,0.956688917339415,0.6150546360654646,0.6746742410398611,0.2978008412582297,0.3297812271408121,0.006381309432888439,0.0063717990548119476,9.510380755460867e-06,0.06000667163014063,0.06305709162980623,0.04505527590021033,0.04599357668534031,0.05830505591753112,0.05925506839356869,0.07527658320952474,0.07654154782850257,0.02269141409153427,0.02327488523554793,0.05920729182638763,0.05363000858722372,0.10135555703678382,0.09644334803650355,0.8459437272646416,0.8609476101695183,0.9302649600963118,0.9275182425364917,0.8698194634338423,0.8736185235125429,0.7832867921184132,0.7742407782709616,0.9818356515373353,0.9817441434846267,0.8558718650267728,0.8841891795789515,0.6209972606396431,0.6529335710349579,0.5675479507463743,0.513476774598285,0.7095800075314579,0.7092154512991843,0.5752284749360594,0.5648541184330406,0.40927566947909083,0.3948277286956111,0.9202920582423622,0.9184176190531271,0.5407387946744614,0.5994544938577565,0.24804733621602876,0.2747145539059646
7,0.004037455917930813,0.004031805027917201,5.650892769388482e-06,0.0497491974676547,0.05340609779471059,0.03852609942116023,0.038759122124035796,0.04932700330221204,0.049276166642527555,0.0656647422094097,0.06624465462586134,0.018185743577839655,0.01822850029985744,0.047929031836398996,0.04320430512633379,0.08061308167253477,0.07737499419817784,0.9016580196218763,0.9067186356986101,0.9641893745427944,0.9648043160226629,0.920966303950256,0.9238672732282226,0.8413268105340161,0.8351751097315144,0.9957937088514996,0.9957594184345282,0.9245816569151282,0.9456554041697147,0.7414308248010096,0.761284976227491,0.6388340960934639,0.5890956474052526,0.7704999542794441,0.7730180139012292,0.6422766550841258,0.638917337239181,0.46373331200143414,0.46214566569183985,0.9630635058522312,0.9626463057790783,0.6481014539180399,0.7049572512823556,0.3283147403116024,0.35807310717334345,0.006096090728895654,0.006089472701421245,6.618035431378064e-06,0.05840585760412244,0.06144770410724562,0.04418917252555337,0.04549374308649827,0.0566679087125234,0.05804113051574541,0.07295355367941965,0.07516887117215428,0.022596700733328458,0.022200157124096443,0.05732078559554862,0.052104574405911375,0.09784883187639241,0.09324298562321097,0.8530742041275756,0.8608590538993935,0.9320980729330686,0.9278429484821169,0.8765453053079273,0.8749453902768182,0.7958794809539705,0.7831598616274699,0.9834827964860908,0.9836200585651538,0.8591661549242838,0.8893638123181344,0.6480924998509587,0.6749087870557346,0.581397683126511,0.5309946629959179,0.7161715391963328,0.7122352170385693,0.5929456146796661,0.5725954044964792,0.4299653450008018,0.411532376119717,0.9199717800578819,0.9212971709308653,0.5667846431494806,0.6197264794898417,0.27106899114688354,0.29288037830355573
8,0.003703411495832191,0.0036986060445862888,4.805451756771404e-06,0.04782474154692304,0.05187740622956276,0.03721654951884449,0.03745007793532838,0.04753540444202127,0.04764374374529863,0.06348294780222426,0.0643330465364539,0.01741215060093735,0.017382345211725537,0.045741235486816974,0.04120238554229975,0.07679099849089381,0.07365332556453799,0.9113160482094771,0.9147174469663352,0.9686734180709439,0.9689534564762109,0.9286565014652379,0.9303653072443162,0.8546177761543381,0.8465881035135189,0.9963595007315289,0.9964109363569861,0.9344230065859401,0.9530449890270666,0.767954462328442,0.7863432699385227,0.6581262372319683,0.6069335223127214,0.7859797915164449,0.7886887344571911,0.6636978785705636,0.6579485186583471,0.4857820501140896,0.48372233906473305,0.9678984546452085,0.9679784656181419,0.6749931419187858,0.730246433798815,0.3554738935630907,0.3862975493792905,0.006031529999393997,0.0060245067220028505,7.023267540277222e-06,0.058047022291433235,0.061406636962429845,0.0441784848040447,0.04531840678702598,0.05625685103412167,0.05751773376034172,0.07213892345623513,0.07455797304466127,0.022162104329560634,0.02229046561355712,0.05735218763558704,0.051276642270113505,0.09803155589286963,0.09212329535367374,0.8550996430010956,0.8632810655135885,0.9322825650170468,0.9318265007320644,0.8775563217361361,0.8786116161248695,0.799406968744398,0.7865028573339191,0.9836200585651538,0.9833455344070278,0.8594421550609705,0.8905076629769925,0.6484614839316462,0.6814501369331103,0.5836810710053144,0.5255071317032525,0.7142528219593043,0.7109570560832323,0.5947329735773375,0.5793212463705641,0.4335341590564387,0.40984242901446005,0.9229959736456809,0.9226742194826397,0.5698103126285715,0.6319000022826746,0.26448041135186157,0.307844896791271
9,0.0034467074661972117,0.0034422903055043776,4.417162389561905e-06,0.04628481050570384,0.05049166687775809,0.0361663396357836,0.03633625138634114,0.04617182812098231,0.0462499155799893,0.06187906441494724,0.06259538792891274,0.016815466106948992,0.016709137386550423,0.04402200964803384,0.03964065935295116,0.07378943729600661,0.07083535016580446,0.918867238198394,0.9215835314557425,0.971965298100205,0.9729734363569861,0.935023088882941,0.937265682150695,0.8634189831770155,0.8565951901996929,0.9968167062911485,0.9968452816386247,0.9412925201192247,0.9591772585954645,0.7878177578682959,0.8044989027066569,0.6736264736572145,0.6221607534791225,0.7984100676686029,0.8026312179999711,0.6781821506971326,0.6738912765190125,0.5028106711788516,0.500389767743936,0.9729562911485004,0.9726533924652524,0.6970647403094222,0.7506435168273448,0.3778426755674799,0.4075073152889539,0.006184995403147874,0.006179540094579972,5.455302650006964e-06,0.05843309651498477,0.06194160406315484,0.0450400815892141,0.045317807683440285,0.05668577087680383,0.05786952084833061,0.07218138619951936,0.07447615196031149,0.022528882925214565,0.022619542439425933,0.05810411397427713,0.05201815439887225,0.09844314859495505,0.09240405955304164,0.8522457486539424,0.8603070538005577,0.9258282954312348,0.9283905209070767,0.8737557855916058,0.8740332617068535,0.7994970008185458,0.7865412317292757,0.9811035871156661,0.9809663250366032,0.8552755867928746,0.8877609455044413,0.6458933547160985,0.6798413663797114,0.5863194774132696,0.5315481391169491,0.7090353869763509,0.7173183417250436,0.6030572545039706,0.5834804349203934,0.44716885891002583,0.42529548244280835,0.9191009776658579,0.9179113729806456,0.5591835710349579,0.6235181599375444,0.2727087564210068,0.31282618192418604
10,0.0032208375239318296,0.0032168619754159074,3.975548518328323e-06,0.04485974330305181,0.049203942638863456,0.03510714620562991,0.03527828951787964,0.04477320616893149,0.044881748629634455,0.060244213427255514,0.06110764895964362,0.016173304102895202,0.016098481637201578,0.042444038619753995,0.03833218126836415,0.07115405716271778,0.0683783822234423,0.9257222447917683,0.9277272311631309,0.9752308888076079,0.9754823518653987,0.9413748171177762,0.9433979517190929,0.8726088149253696,0.8662559436722751,0.9973996433796635,0.9974282187271397,0.9479242867593269,0.9643093910021946,0.8064248811265545,0.8188242959056183,0.6885174836175845,0.6375388624725676,0.8110883778346745,0.8150066294827946,0.6953902249473155,0.6921783558909878,0.519496388076624,0.5164491130255746,0.9756252286027798,0.9758824067300659,0.7184871068032187,0.7674115307263938,0.39689557425454314,0.42927715801460165,0.006112700328401305,0.00610453493267265,8.165402142217718e-06,0.05825420477499812,0.061616666677733814,0.04490828932989743,0.04557021860835057,0.05693377815677865,0.05816846377983973,0.07244733385578081,0.07500511354945415,0.022536676967486544,0.022487165401573805,0.057018227046178344,0.05170464492505239,0.0974148527485909,0.09149320346151928,0.854006427840642,0.8615438884034163,0.9287595049877642,0.9287595049877642,0.8733454753329778,0.8738974755190826,0.8005463916421112,0.7814197326474448,0.9813323572474377,0.9813323572474377,0.8629622632204003,0.8909652032405356,0.6506990033745941,0.686519978248881,0.5866452054956472,0.5359951352828767,0.7087195366402845,0.712517120827693,0.5972435412871192,0.5737363032854843,0.4463467623705745,0.4168324635021858,0.9173195224206234,0.9183261110004185,0.5742853516017361,0.6264906956720143,0.2799821706764171,0.3185926651797567
